Year,Position,Name,NOC,Time/Distance/Points,Record
2016,1,Ma Long,CHN,3
2016,2,Jun Mizutani,JPN,1
2016,3,Timo Boll,GER,3
2016,4,Jeoung Youngsik,KOR,1
2016,-,Paul Drinkhall,GBR,0
2016,-,Per Gerell,SWE,1
2016,-,Kit Ho Kwan,HKG,1
2016,-,Stefan Fegerl,AUT,1
2016,-,Bode Abiodun,NGR,0
2016,-,Tristan Flore,FRA,2
2016,-,Yijun Feng,USA,0
2016,-,Hugo Calderano,BRA,0
2016,-,Jakub Dyjas,POL,2
2016,-,Heming Hu,AUS,0
2016,-,Tiago Apolonia,POR,1
2016,-,Chen Chien-an,TPE,1
2012,1,Ma Long,CHN,3
2012,2,Joo Saehyuk,KOR,0
2012,3,Timo Boll,GER,3
2012,4,Tianyi Jiang,HKG,1
2012,-,Ning Gao,SIN,0
2012,-,Weixing Chen,AUT,0
2012,-,Seiya Kishikawa,JPN,2
2012,-,Tiago Apolonia,POR,2
2012,-,Alexander Shibaev,RUS,1
2012,-,Robert Frank,AUS,0
2012,-,Omar Assar,EGY,0
2012,-,Per Gerell,SWE,1
2012,-,Pierre-Luc Hinse,CAN,0
2012,-,Hugo Hoyama,BRA,0
2012,-,Andrew Baggaley,GBR,0
2012,-,Jang Song-man,PRK,1
2008,CHN,3,KOR,3
2008,GER,0,4.,AUT,1
2008,HKG,1,JPN,1
