Season,Year,City,Name,Sex,NOC,Discipline,Event,Medal
Summer,1896,Athens,KEEPING Frederick,Male,GBR,Cycling Track,12-Hours Race - Men,Silver
Summer,1896,Athens,SCHMAL Adolf,Male,AUT,Cycling Track,333⅓ metres Time Trial - Men,Bronze
Summer,1896,Athens,MASSON Paul,Male,FRA,Cycling Track,333⅓ metres Time Trial - Men,Gold
Summer,1896,Athens,NIKOLOPOULOS Stamatios,Male,GRE,Cycling Track,333⅓ metres Time Trial - Men,Silver
Summer,1896,Athens,FLAMENG Léon,Male,FRA,Cycling Track,Sprint - Men,Bronze
Summer,1896,Athens,MASSON Paul,Male,FRA,Cycling Track,Sprint - Men,Gold
Summer,1896,Athens,NIKOLOPOULOS Stamatios,Male,GRE,Cycling Track,Sprint - Men,Silver
Summer,1896,Athens,PIERRAKOS-MAVROMIKHALIS Periklis,Male,GRE,Fencing,Foil Individual - Men,Bronze
Summer,1896,Athens,VOUROS Athanasios,Male,GRE,Fencing,Foil Individual - Men,Bronze
Summer,1896,Athens,GRAVELOTTE Eugène Henry,Male,FRA,Fencing,Foil Individual - Men,Gold
Summer,1896,Athens,CALLOT Eugène-Henri,Male,FRA,Fencing,Foil Individual - Men,Silver
Summer,1896,Athens,PYRGOS Leon,Male,GRE,Fencing,Foil Masters Individual - Men,Gold
Summer,1896,Athens,PERRONET Joanni,Male,FRA,Fencing,Foil Masters Individual - Men,Silver
Summer,1896,Athens,NIELSEN Holger,Male,DEN,Fencing,Sabre Individual - Men,Bronze
Summer,1896,Athens,GEORGIADIS Ioannis,Male,GRE,Fencing,Sabre Individual - Men,Gold
Summer,1896,Athens,KARAKALOS Tilemakhos,Male,GRE,Fencing,Sabre Individual - Men,Silver
Summer,1896,Athens,WEINGÄRTNER Hermann,Male,GER,Artistic Gymnastics,Horizontal Bar - Men,Gold
Summer,1896,Athens,FLATOW Alfred,Male,GER,Artistic Gymnastics,Horizontal Bar - Men,Silver
Summer,1896,Athens,BÖCKER Conrad,Male,GER,Artistic Gymnastics,Horizontal Bar Teams - Men,Gold
Summer,1896,Athens,FLATOW Alfred,Male,GER,Artistic Gymnastics,Horizontal Bar Teams - Men,Gold
Summer,1896,Athens,HILMAR Georg,Male,GER,Artistic Gymnastics,Horizontal Bar Teams - Men,Gold
Summer,1896,Athens,MANTEUFFEL Fritz,Male,GER,Artistic Gymnastics,Horizontal Bar Teams - Men,Gold
Summer,1896,Athens,NEUKIRCH Karl,Male,GER,Artistic Gymnastics,Horizontal Bar Teams - Men,Gold
Summer,1896,Athens,RÖSTEL Richard,Male,GER,Artistic Gymnastics,Horizontal Bar Teams - Men,Gold
Summer,1896,Athens,SCHUFT Gustav,Male,GER,Artistic Gymnastics,Horizontal Bar Teams - Men,Gold
Summer,1896,Athens,WEINGÄRTNER Hermann,Male,GER,Artistic Gymnastics,Horizontal Bar Teams - Men,Gold
Summer,1896,Athens,FLATOW Gustav,Male,GER,Artistic Gymnastics,Horizontal Bar Teams - Men,Gold
Summer,1896,Athens,SCHUHMANN Carl,Male,GER,Artistic Gymnastics,Horizontal Bar Teams - Men,Gold
Summer,1896,Athens,WEINGÄRTNER Hermann,Male,GER,Artistic Gymnastics,Horse Vault - Men,Bronze
Summer,1896,Athens,SCHUHMANN Carl,Male,GER,Artistic Gymnastics,Horse Vault - Men,Gold
Summer,1896,Athens,ZUTTER Louis,Male,SUI,Artistic Gymnastics,Horse Vault - Men,Silver
Summer,1896,Athens,FLATOW Alfred,Male,GER,Artistic Gymnastics,Parallel Bars - Men,Gold
Summer,1896,Athens,ZUTTER Louis,Male,SUI,Artistic Gymnastics,Parallel Bars - Men,Silver
Summer,1896,Athens,KARVELAS Filippos,Male,GRE,Artistic Gymnastics,Parallel Bars Teams - Men,Bronze
Summer,1896,Athens,LOUNDRAS Dimitrios,Male,GRE,Artistic Gymnastics,Parallel Bars Teams - Men,Bronze
Summer,1896,Athens,MITROPOULOS Ioannis,Male,GRE,Artistic Gymnastics,Parallel Bars Teams - Men,Bronze
Summer,1896,Athens,BÖCKER Conrad,Male,GER,Artistic Gymnastics,Parallel Bars Teams - Men,Gold
Summer,1896,Athens,FLATOW Alfred,Male,GER,Artistic Gymnastics,Parallel Bars Teams - Men,Gold
Summer,1896,Athens,HILMAR Georg,Male,GER,Artistic Gymnastics,Parallel Bars Teams - Men,Gold
Summer,1896,Athens,MANTEUFFEL Fritz,Male,GER,Artistic Gymnastics,Parallel Bars Teams - Men,Gold
Summer,1896,Athens,NEUKIRCH Karl,Male,GER,Artistic Gymnastics,Parallel Bars Teams - Men,Gold
