Year,Position,Name,NOC,Time/Distance/Points,Record
1904,1,William Thompson,USA,1344
1904,2,Charles Woodruff,USA,1341
1904,3,George Phillip Bryant,USA,1268
1904,4,Benjamin Keys,USA,942
