Year,Position,Name,NOC,Time/Distance/Points,Record
2020,1,Kim Je-deok,KOR,6
2020,2,Deng Yu-cheng,TPE,0
2020,3,Takaharu Furukawa,JPN,5
2016,KOR,6,USA,6
2016,AUS,0,CHN,0
2012,USA,224,ITA,217
2012,KOR,219,MEX,215
2008,KOR,221,ITA,223
2008,CHN,218,UKR,221
2004,1,Im Dong-hyun,KOR,251
2004,2,Chen Szu-yuan,TPE,245
2004,3,Dmytro Hrachov,UKR,237
2004,4,Butch Johnson,USA,235
2004,-,Pieter Custers,NED,249
2004,-,Takaharu Furukawa,JPN,236
2004,-,Ilario Di Buo,ITA,240
2004,-,David Barnes,AUS,247
2004,-,Jorge Chapoy,MEX,234
2004,-,Jocelyn de Grandis,FRA,241
2004,-,Georgios Kalogiannidis,GRE,225
2004,-,Jonas Andersson,SWE,242
2004,-,Satyadev Prasad,IND,236
2000,1,Jang Yong-ho,KOR,255
2000,2,Matteo Bisiani,ITA,247
2000,3,Rodney White,USA,239
2000,4,Baljinima Tsyrempilov,RUS,239
2000,-,Igor Parkhom Enko,UKR,236
2000,-,Serdar Satir,TUR,245
2000,-,Stanislav Zabrodskiy,KAZ,244
2000,-,Magnus Petersson,SWE,244
2000,-,Fu Shengjun,CHN,235
2000,-,Wietse van Alten,NED,241
2000,-,Yuji Hamano,JPN,231
2000,-,Lars Erik Humlekjær,NOR,241
2000,-,Lionel Torres,FRA,239
2000,-,Simon Fairweather,AUS,238
1996,KOR,250,USA,251
1996,AUS,234,ITA,247
1992,FIN,237,ESP,236
1992,FRA,230,GBR,234
1988,1,Chun In-soo,KOR,986
1988,2,Jay Barrs,USA,972
1988,3,Steven Hallard,GBR,968
1988,4,Ismo Falck,FIN,956
1988,5,Konstantin Shkolny,URS,949
1988,6,Terushi Furuhashi,JPN,948
1988,7,Chiu Ping-kun,TPE,937
1988,8,Göran Bjerendal,SWE,925
