Year,Position,Name,NOC,Time,Record
2012,2, James Magnussen,AUS,47.53,
2012,3, Brent Hayden,CAN,47.8,
2012,4, Yannick Agnel,FRA,47.84,
2012,5, Sebastiaan Verschuren,NED,47.88,
2012,6, Cesar Cielo Filho,BRA,47.92,
2012,7, Hanser Garcia,CUB,48.04,
2012,8, Nikita Lobintsev,RUS,48.44,
2012,-,Gideon Louw,RSA,48.44,
2012,-,Fabien Gilot,FRA,48.49,
2012,-,James Roberts,AUS,48.57,
2012,-,Brett Fraser,CAY,48.92,
2012,-,Shaune Fraser,CAY,49.07,
2012,-,Konrad Czerniak,POL,48.44,
2012,-,Pieter Timmers,BEL,48.57,
2012,-,Cullen Jones,USA,48.6,
2012,-,Mamadou Soumare,MLI,57.32,
2012,-,Ahmed Husam,MDV,57.53,
2012,-,Ammaar Ghadiyali,TAN,01:01.1,
2012,-,Beni Bertrand Binobagira,BDI,01:04.6,
2012,-,Esau Simpson,GRN,53.26,
2012,-,Sergey Krovyakov,TKM,54.43,
2012,-,Paul Elaisa,FIJ,54.87,
2012,-,Niall Roberts,GUY,55.66,
2012,-,Tamir Andryei,MGL,56.37,
2012,-,Shane Mangroo,SEY,56.46,
2012,-,Yasser Nunez Munguia,NCA,57.11,
2012,-,Israr Hussain,PAK,57.86,
2012,-,Sidni Hoxha,ALB,51.11,
2012,-,Kevin Avila Soto,GUA,51.44,
2012,-,Andrew Chetcuti,MLT,51.67,
2012,-,Jemal le Grand,ARU,51.86,
2012,-,Andrew Rutherfurd,BOL,52.57,
2012,-,Mohammad Bidaryan,IRI,52.93,
2012,-,Christopher Duenas,GUM,53.37,
2012,-,Mikayel Koloyan,ARM,53.82,
2012,-,Kemal Gurdal,TUR,49.71,
2012,-,Uvis Kalnins,LAT,49.96,
2012,-,Benjamin Hockin Brusquetti,PAR,50.12,
2012,-,Nabil Kebbab,ALG,50.37,
2012,-,Yauhen Tsurkin,BLR,50.53,
2012,-,Gabriel Melconian Alvez,URU,50.68,
2012,-,Branden Whitehurst,ISV,51.04,
2012, ,George Bovell,TTO,dns,
2012,-,Norbert Trandafir,ROU,49.02,
2012,-,Martin Verner,CZE,49.49,
2012,-,David Dunford,KEN,49.6,
2012,-,Mindaugas Sadauskas,LTU,49.78,
2012,-,Dominik Meichtry,SUI,49.95,
2012,-,Kristian Gkolomeev,GRE,50.08,
2012, ,Lu Zhiwu,CHN,dns,
2012, ,Dominik Kozma,HUN,dns,
2012,-,Filippo Magnini,ITA,49.18,
2012,-,Adam Brown,GBR,49.2,
2012, ,Danila Izotov,RUS,dns,
2012,-,Marco di Carli,GER,49.03,
2012,-,Graeme Moore,RSA,49.29,
2012,-,Nicolas Cesar de Oliveira,BRA,49.51,
2012,-,Luca Dotto,ITA,49.43,
2012,-,Stefan Nystrand,SWE,49.55,
2008,1, Alain Bernard,FRA,47.21,
2008,2, Eamon Sullivan,AUS,47.32,
2008,3, Cesar Cielo Filho,BRA,47.67,
2008,4, Jason Lezak,USA,47.67,
2008,5, Pieter van den Hoogenband,NED,47.75,
2008,6, Lyndon Ferns,RSA,48.04,
2008,7, Matthew Targett,AUS,48.2,
2008,8, Stefan Nystrand,SWE,48.33,
2008,-,Christian Galenda,ITA,48.47,
2008,-,Jonas Persson,SWE,48.59,
2008,-,Fabien Gilot,FRA,49,
2008,-,Filippo Magnini,ITA,48.11,
2008,-,Garrett Weber-Gale,USA,48.12,
2008,-,Brent Hayden,CAN,48.2,
2008,-,Andrey Grechin,RUS,48.71,
2008,-,Dominik Meichtry,SUI,49.58,
2008,-,Emile Rony Bakale,CGO,55.08,
2008,-,Miguel Angel Navarro,BOL,56.96,
2008,-,Sofyan El Gadi,LBA,57.89,
2008,-,Jan Roodzant,ARU,51.69,
2008,-,Mikayel Koloyan,ARM,51.89,
2008,-,Gael Adam,MRI,52.35,
2008,-,Carl Probert,FIJ,52.37,
2008,-,Roy-Allen Burch,BER,52.65,
2008,-,Obaid Aljesmi,UAE,53.29,
2008,-,Virdhawal Khade,IND,50.07,
2008,-,Romans Miloslavskis,LAT,50.4,
2008,-,Terrence Haynes,BAR,50.5,
2008,-,Alexandr Sklyar,KAZ,51.24,
2008,-,Lim Nam-gyun,KOR,51.8,
2008,-,Petr Romashkin,UZB,51.83,
2008,-,Christopher Duenas,GUM,52.64,
2008,-,David Dunford,KEN,49.06,
2008,-,Nimrod Shapira Bar-Or,ISR,49.1,
2008,-,Peter Mankoc,SLO,49.33,
2008,-,Ryan Pini,PNG,49.72,
2008,-,Matti Rajakylä,FIN,49.91,
2008,-,Aristeidis Grigoriadis,GRE,50.62,
2008,-,Norbert Trandafir,ROU,50.74,
2008,-,Danil Haustov,EST,50.92,
2008,-,Martin Verner,CZE,48.95,
2008,-,Balasz Makany,HUN,49.27,
2008,-,Paulius Viktoravicius,LTU,49.27,
2008,-,Shaune Fraser,CAY,49.56,
2008,-,Martin Kutscher,URU,50.08,
2008,-,Stanislav Neverovsky,BLR,50.14,
2008,-,Tiago Venancio,POR,50.3,
2008,-,Orn Arnarson,ISL,50.68,
2008,-,George Bovell,TTO,48.83,
2008,-,Albert Subirats Altes,VEN,48.97,
2008,-,Chen Zuo,CHN,49.08,
2008,-,Nabil Kebbab,ALG,49.38,
2008,-,Jose Martin Meolans,ARG,49.5,
2008,-,Yuriy Yegoshin,UKR,49.56,
2008,-,Mitja Zastrow,NED,49.61,
2008,-,Prasiddha Shah,NEP,49.85,
2008,-,Yoris Grandjean,BEL,48.82,
2008,-,Duje Draganja,CRO,49.49,
2008,-,Joel Greenshields,CAN,49.04,
2008,-,Ryk Neethling,RSA,49.28,
2008,-,Yevgeniy Lagunov,RUS,48.59,
2008,-,Jakob Andkjær,DEN,49.25,
2008,-,Steffen Deibler,GER,49.39,
2004,1, Pieter van den Hoogenband,NED,48.17,
2004,2, Roland Schoeman,RSA,48.23,
2004,3, Ian Thorpe,AUS,48.56,
2004,4, Ryk Neethling,RSA,48.63,
2004,5, Filippo Magnini,ITA,48.99,
2004,6, Duje Draganja,CRO,49.23,
2004,7, Salim Iles,ALG,49.3,
2004,8, Andrey Kapralov,RUS,49.3,
2004,-,Aleksandr Popov,RUS,49.23,
2004,-,George Bovell,TTO,49.53,
2004,-,Peter Mankoc,SLO,49.71,
2004,-,Rolandas Gimbutis,LTU,49.75,
2004,-,Luis Enrique Rojas,VEN,49.85,
2004,-,Frederick Bousquet,FRA,49.25,
2004,-,Romain Barnier,FRA,49.63,
2004,-,Torsten Spanneberg,GER,49.88,
2004,-,Mohammed Abbas,IRQ,56.81,
2004,-,Andryein Tamir,MGL,57.29,
2004,-,Leonel Matonse,MOZ,57.79,
2004,-,Hesham Al Shehabi,BRN,57.94,
2004,-,Sergey Dyackov,AZE,58.26,
2004,-,Mumtaz Ahmed,PAK,59.19,
2004,-,Emery Nziyunira,BDI,01:09.4,
2004,-,Octavian Gutu,MDA,51.84,
2004,-,Camilo Becerra Velasco,COL,52.57,
2004,-,Zeljko Panic,BIH,52.75,
2004,-,Aleksandr Agafonov,UZB,52.92,
2004,-,Obaid Al Jassimi,UAE,54.17,
2004,-,Onan Orlando Thom,GUY,55.24,
2004,-,Babak Farhoudi,IRI,56.42,
2004,-,Jean-Laurent Ravera,MON,56.47,
2004,-,Carl Probert,FIJ,51.42,
2004,-,Ismael Ortiz,PAN,51.74,
2004,-,Lee Chung-hui,KOR,51.74,
2004,-,Damian Alleyne,BAR,51.89,
2004,-,Max Schnettler,CHI,51.91,
2004,-,Vyacheslav Titarenko,KAZ,52.09,
2004,-,Wu Nien-pin,TPE,52.58,
2004,-,Jung Jun Chay,SIN,52.83,
2004,-,Romans Miloslavskis,LAT,50.94,
2004,-,Alexandros Aresti,CYP,51.1,
2004,-,Ryan Pini,PNG,51.11,
2004,-,Paul Kutscher,URU,51.45,
2004,-,Kaan Tayla,TUR,51.52,
2004,-,George Gleason,ISV,51.69,
2004,-,Hou Ming Ong,MAS,52.04,
2004,-,Raychin Antonov,BUL,52.33,
2004,-,Yoshihiro Okumura,JPN,50.24,
2004,-,Stanislav Neverovsky,BLR,50.36,
2004,-,Aristeidis Grigoriadis,GRE,50.61,
2004,-,Matti Rajakylä,FIN,50.67,
2004,-,Danil Haustov,EST,51.02,
2004,-,Cameron Gibson,NZL,51.56,
2004,-,Huang Shaohua,CHN,55.46,
2004,-,Yuriy Yehoshyn,UKR,49.73,
2004,-,Stefan Nystrand,SWE,49.75,
2004,-,Karel Novy,SUI,49.93,
2004,-,Matthew Kidd,GBR,49.97,
2004,-,Attila Zubor,HUN,50.26,
2004,-,Jader Souza,BRA,50.67,
2004,-,Ian Crocker,USA,49.73,
2004,-,Milorad Cavic,SCG,49.74,
2004,-,Lorenzo Vismara,ITA,50.03,
2004,-,Eduardo Lorente,ESP,50.48,
2004,-,Ashley Callus,AUS,50.56,
2004,-,Jason Lezak,USA,49.87,
2004,-,Jose Martin Meolans,ARG,49.98,
2004,-,Tiago Venancio,POR,50.18,
2004,-,Stephan Kunzelmann,GER,50.98,
2000,1, Pieter van den Hoogenband,NED,48.3,
2000,2, Aleksandr Popov,RUS,48.69,
2000,3, Gary Hall jr.,USA,48.73,
2000,4, Michael Klim,AUS,48.74,
2000,5, Neil Walker,USA,49.09,
2000,6, Lars Frölander,SWE,49.22,
2000,7, Denis Pimankov,RUS,49.36,
2000,8, Christopher Fydler,AUS,49.44,
2000,-,Jose Martin Meolans,ARG,49.66,
2000,-,Duje Draganja,CRO,49.67,
2000,-,Lorenzo Vismara,ITA,49.67,
2000,-,Salim Iles,ALG,49.7,
2000,-,Christian Tröger,GER,49.8,
2000,-,Attila Zubor,HUN,49.58,
2000,-,Roland Schoeman,RSA,49.84,
2000,-,Gustavo Borges,BRA,49.93,
2000,-,Eric Moussambani,GEQ,112.72,
2000, ,Karim Bare,NIG,dq,
2000, ,Farkhod Oripov,TJK,dq,
2000,-,Gregory Arkhurst,CIV,53.55,
2000,-,Hamid Reza Mobarez,IRI,54.12,
2000,-,Wen Ying Lim,MRI,54.33,
2000,-,Ganaagiin Galbadrakh,MGL,58.79,
2000,-,Ragi Edde,LIB,59.26,
2000,-,Marien Michel Ngouabi,CGO,61.39,
2000,-,Dawood Youssef Jassim,BRN,62.45,
2000,-,Paul Kutscher,URU,52.22,
2000,-,Howard Hinds,AHO,52.52,
2000,-,Aleksandr Agafonov,UZB,52.58,
2000,-,Rikardur Rikardsson,ISL,52.85,
2000,-,George Bovell,TTO,52.9,
2000,-,Gentle Offoin,NGR,52.91,
2000,-,Kenny Roberts,SEY,53.4,
2000,-,Alejandro Castellanos,HON,54.06,
2000,-,Carl Probert,FIJ,51.34,
2000,-,Christopher Murray,BAH,51.93,
2000,-,Indrek Sei,EST,52.09,
2000,-,Tamer Zinhom Muhammad,EGY,52.14,
2000,-,Jung Jun Chay,SIN,52.24,
2000,-,Fernando Jacome Clavijo,COL,52.24,
2000,-,Glen Walshaw,ZIM,52.53,
2000,-,Rodrigo Olivares Aramburu,CHI,53.5,
2000,-,Nikola Kalabic,YUG,51.82,
2000,-,Hou Ming Ong,MAS,51.93,
2000,-,George Gleason,ISV,52,
2000,-,Kvetoslav Svoboda,CZE,52.18,
2000,-,Igor Sitnikov,KAZ,52.57,
2000,-,Wu Nien-pin,TPE,52.72,
2000,-,Felipe Delgado Martillo,ECU,52.78,
2000,-,Chrysanthos Papakhrysanthou,CYP,52.82,
2000,-,Peter Mankoc,SLO,50.28,
2000,-,Kim Min-suk,KOR,50.49,
2000,-,Spyridon Bitsakis,GRE,51.28,
2000,-,Sergey Ashikhmin,KGZ,51.28,
