Year,Position,Name,NOC,Time/Distance/Points,Record
2016,RUS,22,NOR,36
2016,FRA,19,4.,NED,26
2016,-,24,RUS,38
2016,-,23,NOR,37
2012,NOR,26,ESP,31
2012,MNE,23,4.,KOR,29
2012,-,31,MNE,27
2012,-,25,ESP,26
2008,NOR,34,KOR,33
2008,RUS,27,4.,HUN,28
2008,-,29,RUS,22
2008,-,28,HUN,20
2004,DEN,38,UKR,21
2004,KOR,36,4.,FRA,18
2004,-,29,KOR,32
2004,-,20,FRA,31
2000,DEN,31,NOR,22
2000,HUN,27,4.,KOR,21
2000,-,29,NOR,23
1996,DEN,37,HUN,20
1996,KOR,33,4.,NOR,18
1996,-,39,DEN,23
1996,-,25,NOR,19
1992,KOR,28,EUN,24
1992,NOR,21,4.,GER,20
1992,-,24,KOR,26
1992,-,23,GER,25
1988,KOR,23,URS,18
1988,NOR,20,4.,YUG,15
1988,-,15,URS,19
1984,4,FRG,2 - 0 - 3,    91 - 100
1984,5,USA,2 - 0 - 3,    114 - 123
1984,6,AUT,0 - 0 - 5,    91 - 117
1980,4,HUN,1 - 1 - 3,    80 - 74
1980,5,TCH,1 - 1 - 3,    65 - 78
1980,6,CGO,0 - 0 - 5,    46 - 159
1976,4,ROU,2 - 0 - 3,    73 - 83
1976,5,JPN,1 - 0 - 4,    72 - 115
1976,6,CAN,0 - 0 - 5,    35 - 106
