Team,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,AVG,Continent
Dominican Republic,515000,688000,879000,1256000,1674000,2352968,3231488,4422755,5696855,7083000,8410000,9695121,10847910,4365545.923,North America
Ecuador,1400000,1617000,1790000,1944000,2466000,3369955,4415956,5939246,7920499,10318036,12446000,15011117,17643054,6636989.462,South America
Egypt,10176305.71,11698511.7,13139464.51,14679848.82,16812181.46,21834000,27840000,33574026,42634215,56683000,70512000,82761235,102334404,38821476.32,Africa
El Salvador,766000,946000,1170000,1440000,1630000,1939800,2581583,3603907,4566199,5099884,6126000,6183875,6486205,3272265.615,North America
Equatorial Guinea,133529.6733,120761.8431,113708.6691,129386.2215,145778.3919,226000,252000,270435,256009,371000,491000,943639,1402985,373556.3691,Africa
Eritrea,721990.7779,774152.2062,821875.7434,907862.1305,983162.3114,1141000,1424000,2160460,2568741,3138000,4197000,3170435,3546421,1965776.936,Africa
Estonia,,986000,1115000,1124000,1122000,1095610,1210647,1363183,1482196,1569322,1379835,1332101,1326535,1258869.083,Europe
Eswatini,109354.046,128729.7088,150139.0432,184851.0894,225740.5212,273000,347081,455145,611447,884616,1109750,1064837,1160164,515758.0314,Africa
Ethiopia,18434000,18434000,18434000,18434000,18434000,18434000,22942000,29468504,36036000,48397000,64165000,87639964,114963588,39555081.23,Africa
Fiji,120000,140000,157000,198000,260000,287348,393348,521000,634506,738090,833000,859818,896445,464504.2308,Oceania
Finland,2646000,2929000,3133000,3449000,3698000,4008900,4429600,4606307,4779535,4986431,5168595,5365782,5540720,4210836.154,Europe
France,40598000,41224000,39000000,41610000,41000000,42518000,46584000,51918000,55110000,58168000,61137000,62879530,65273511,49770772.38,Europe
Gabon,366539.1722,331491.4571,312130.4831,355165.39,400161.9247,469000,486000,514597,713502,938000,1236000,1624140,2225734,767112.4175,Africa
Gambia,162014.9403,173719.98,184429.1556,214037.5644,245962.8691,294000,360000,484580,670523,949255,1367884,1793196,2416668,716636.193,Africa
Georgia,,,,,,3515602,4146570,4694491,5045697,5426207,4777209,4099099,3989167,4461755.25,Asia
Germany,54388000,62884000,60894000,65084000,69835000,68374572,72480869,77783164,78297904,79380394,82187909,80827002,83783942,72015442.77,Europe
Ghana,2799906.606,3056579.046,3288986.609,3817003.232,4386337.833,5243000,7126000,8788945,11017000,15414000,19736000,24779619,31072940,10809716.72,Africa
Greece,4962000,5320000,5700000,6351000,7280000,7566028,8327405,8792806,9642505,10129603,10559110,10887637,10423054,8149319.077,Europe
Grenada,63000,67000,66000,79000,90000,75806,90148,95410,90164,92360,89312,106233,112523,85919.69231,North America
Guatemala,1300000,1441000,1597000,1771000,2200000,2968976,4100000,5264000,6650000,8966000,11085000,14630417,17915568,6145304.692,North America
Guinea,1387294.334,1487521.728,1610900.214,1906681.569,2191077.395,2619000,3118000,3643000,4447000,6118000,8350000,10192176,13132795,4631034.326,Africa
Guinea-Bissau,278290.9689,298396.5643,316791.5769,367649.558,422487.2412,505000,554000,620020,789053,995991,1279000,1522599,1968001,762867.6853,Africa
Guyana,306000,304000,304000,311000,347000,427971,571083,714811,759352,750903,755171,749436,786552,545175.3077,South America
Haiti,1560000,1809000,2124000,2422000,2751000,3097220,3679000,4541000,5200000,6289000,7639000,9949322,11402528,4804851.538,North America
Honduras,500000,619000,720000,950000,1150000,1431447,1951640,2760666,3401940,4792271,6347658,8317470,9904607,3295899.923,North America
Hungary,7127000,7644000,7950000,8649000,9287000,9338000,9983512,10337004,10711122,10371878,10137449,9927370,9660351,9317206.615,Europe
Iceland,78000,88000,98000,109000,121000,142938,175860,204104,228161,254719,281043,320328,341243,187876.6154,Europe
India,284500000,302100000,305600000,336400000,386800000,359000000,434000000,541000000,679000000,839000000,1004124000,1234281170,1380004385,621985350.4,Asia
Iran,10000000,10994000,9000000,12590000,15000000,16357000,21548000,28854000,39422000,56669000,63273000,73762519,83992949,33958651.38,Asia
Iraq,2250000,2613000,3161000,3605000,3700000,5163443,6822030,9413671,13232839,18134702,22675617,29741976,40222493,12364290.08,Asia
Ireland,4469000,4385000,4361000,2927000,2958000,2963018,2832000,2950100,3401000,3508200,3791690,4554321,4937786,3695239.615,Europe
Israel,362220,415745,455836,588805,889866,1286131,2141495,2903434,3737473,4478000,6115000,7346446,8655535,3028922,Asia
Italy,33672000,36572000,37398000,40791000,44341000,47105000,50197600,53661100,56451247,56742886,57719337,59325229,60461826,48802940.38,Europe
Jamaica,720000,808000,855000,1009000,1212000,1384550,1631784,1943787,2228803,2347922,2615467,2810460,2961167,1732918.462,North America
Japan,44103000,49518000,55818000,64203000,72967000,83805000,94091638,104344973,116807309,123537399,126179000,128542353,126476461,91568702.54,Asia
