NOC,Year,Efficiency
USA,2005,1.671138650913107
USA,2006,1.4358714912224415
USA,2007,1.2072323668404348
USA,2008,0.992652440671844
USA,2009,0.7989167677873765
USA,2010,0.6318107331698735
USA,2011,0.4958333854157746
USA,2012,0.39399746565871796
USA,2013,0.3277284440229633
USA,2014,0.2968664259169249
USA,2015,0.2997662558151988
USA,2016,0.33348338849326664
USA,2017,0.39402685952974137
USA,2018,0.47665650855358743
USA,2019,0.576199774771391
USA,2020,0.6873639058325076
USA,2021,0.8050220536876713
USA,2022,0.9244560239191237
USA,2023,1.0415438116541371
USA,2024,1.1528858569813405
FRA,2005,1.7395540024352196
FRA,2006,1.4956564069425147
FRA,2007,1.257385159247891
FRA,2008,1.0324221131034998
FRA,2009,0.8278380353080879
FRA,2010,0.6497260033029382
FRA,2011,0.5029002506378948
FRA,2012,0.39068121090503816
FRA,2013,0.3147800659566684
FRA,2014,0.2752876120485901
FRA,2015,0.2707636007133525
FRA,2016,0.29841476386130905
FRA,2017,0.3543432566082556
FRA,2018,0.4338428105127776
FRA,2019,0.531717794080905
FRA,2020,0.6426006616308166
FRA,2021,0.7612457117227569
FRA,2022,0.8827812359316876
FRA,2023,1.0029074388424069
FRA,2024,1.1180333104015823
BRA,2005,1.8332803107264672
BRA,2006,1.580547141516824
BRA,2007,1.3324148233581627
BRA,2008,1.0968218595523347
BRA,2009,0.8811315197441518
BRA,2010,0.6917518874141184
BRA,2011,0.5338198727363019
BRA,2012,0.4109709153420098
BRA,2013,0.32520869992960066
BRA,2014,0.27688067230458446
BRA,2015,0.2647563615191124
BRA,2016,0.2861973723436686
BRA,2017,0.3374011928012346
BRA,2018,0.41369625196155035
BRA,2019,0.5098632992597121
BRA,2020,0.6204582179106202
BRA,2021,0.7401136280428247
BRA,2022,0.8638006583302491
BRA,2023,0.9870374968894333
BRA,2024,1.1060371329225613
GRE,2005,1.87600350487516
GRE,2006,1.607881702264599
GRE,2007,1.3471043330844086
GRE,2008,1.1022129873182374
GRE,2009,0.8810278450843769
GRE,2010,0.6902369514960645
GRE,2011,0.5350609255379026
GRE,2012,0.41901651652799354
GRE,2013,0.34379388996787674
GRE,2014,0.30925279804866146
GRE,2015,0.31353288199113805
GRE,2016,0.353264268884536
GRE,2017,0.42385724179977635
GRE,2018,0.5198447284068652
GRE,2019,0.6352490268688527
GRE,2020,0.7639446075152045
GRE,2021,0.8999917334330358
GRE,2022,1.0379205250409622
GRE,2023,1.1729512796802555
GRE,2024,1.3011436025884169
GBR,2005,0.8788227361206193
GBR,2006,0.7573677005610817
GBR,2007,0.6442409792295207
GBR,2008,0.542980443644818
GBR,2009,0.4565026991861407
GBR,2010,0.3869597141980796
GBR,2011,0.33565016019606664
GBR,2012,0.3029905514286313
GBR,2013,0.288545917418211
GBR,2014,0.2911145954666037
GBR,2015,0.30885733329157916
GBR,2016,0.33945767888088096
GBR,2017,0.3802988810515575
GBR,2018,0.42864232092122845
GBR,2019,0.4817937470792242
GBR,2020,0.537246040513162
GBR,2021,0.592790517787211
GBR,2022,0.6465924611162708
GBR,2023,0.6972302097579417
GBR,2024,0.7437003794357371
ITA,2005,1.7195593351633032
ITA,2006,1.4757942531316721
ITA,2007,1.237670899011246
ITA,2008,1.0128672773960758
ITA,2009,0.8084497682091154
ITA,2010,0.6305067245192557
ITA,2011,0.48384754046266076
ITA,2012,0.37178792525902793
ITA,2013,0.2960346738848534
ITA,2014,0.2566747334378494
ITA,2015,0.25226470926605016
ITA,2016,0.2800090105400104
ITA,2017,0.3360083625992747
ITA,2018,0.41555597661886434
ITA,2019,0.5134565753370279
ITA,2020,0.6243437614639169
ITA,2021,0.7429736584588245
ITA,2022,0.8644769149819087
ITA,2023,0.9845564654499999
ITA,2024,1.0996242393740614
CAN,2005,1.800055067184919
CAN,2006,1.5527144453027786
CAN,2007,1.3106005579648787
CAN,2008,1.0814952695396376
CAN,2009,0.8725833286735281
CAN,2010,0.6900805636489893
CAN,2011,0.5389269479132448
CAN,2012,0.42256566589953826
CAN,2013,0.3428218813078945
CAN,2014,0.299886401010379
CAN,2015,0.2924007221690905
CAN,2016,0.31763192720035915
CAN,2017,0.37171932033171373
CAN,2018,0.44997015396943985
CAN,2019,0.5471795927934053
CAN,2020,0.6579502530673835
CAN,2021,0.776989017975465
CAN,2022,0.8993629362086666
CAN,2023,1.0207012845859635
